"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","45","Wi-Fi Smart Home","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","46","Zigbee & Z-Wave","1","Title Slide - Zigbee & Z-Wave","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Zigbee & Z-Wave."
"","46","Zigbee & Z-Wave","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","46","Zigbee & Z-Wave","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","46","Zigbee & Z-Wave","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","46","Zigbee & Z-Wave","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","46","Zigbee & Z-Wave","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","46","Zigbee & Z-Wave","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","46","Zigbee & Z-Wave","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Zigbee & Z-Wave."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","46","Zigbee & Z-Wave","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","46","Zigbee & Z-Wave","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","47","Matter & Thread","1","Title Slide - Matter & Thread","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Matter & Thread."
"","47","Matter & Thread","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","47","Matter & Thread","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","47","Matter & Thread","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","47","Matter & Thread","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","47","Matter & Thread","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","47","Matter & Thread","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","47","Matter & Thread","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Matter & Thread."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","47","Matter & Thread","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","47","Matter & Thread","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 12: Business, Project Engineering & Career","48","Alexa & Google Home Integration","1","Title Slide - Alexa & Google Home Integration","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Alexa & Google Home Integration."
"","48","Alexa & Google Home Integration","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","48","Alexa & Google Home Integration","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","48","Alexa & Google Home Integration","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","48","Alexa & Google Home Integration","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","48","Alexa & Google Home Integration","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","48","Alexa & Google Home Integration","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","48","Alexa & Google Home Integration","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Alexa & Google Home Integration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","48","Alexa & Google Home Integration","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","48","Alexa & Google Home Integration","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","49","Home Assistant","1","Title Slide - Home Assistant","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Home Assistant."
"","49","Home Assistant","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","49","Home Assistant","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","49","Home Assistant","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","49","Home Assistant","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","49","Home Assistant","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","49","Home Assistant","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","49","Home Assistant","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Home Assistant."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","49","Home Assistant","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","49","Home Assistant","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","50","Smart Lighting & Curtain","1","Title Slide - Smart Lighting & Curtain","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Smart Lighting & Curtain."
"","50","Smart Lighting & Curtain","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","50","Smart Lighting & Curtain","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","50","Smart Lighting & Curtain","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","50","Smart Lighting & Curtain","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","50","Smart Lighting & Curtain","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","50","Smart Lighting & Curtain","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","50","Smart Lighting & Curtain","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Smart Lighting & Curtain."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","50","Smart Lighting & Curtain","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","50","Smart Lighting & Curtain","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","51","Smart Irrigation & Energy Monitoring","1","Title Slide - Smart Irrigation & Energy Monitoring","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Smart Irrigation & Energy Monitoring."
"","51","Smart Irrigation & Energy Monitoring","2","Smart Home Bus Cabling & Protocols","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Smart Home Bus Cabling & Protocols."
"","51","Smart Irrigation & Energy Monitoring","3","Zigbee Mesh vs Wi-Fi IoT Channels","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Zigbee Mesh vs Wi-Fi IoT Channels."
"","51","Smart Irrigation & Energy Monitoring","4","Smart Lighting Dimmer & Actuator Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","51","Smart Irrigation & Energy Monitoring","5","Curtain Motors & Relay Triggers","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Curtain Motors & Relay Triggers."
"","51","Smart Irrigation & Energy Monitoring","6","KNX green bus standard topologies","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for KNX green bus standard topologies."
"","51","Smart Irrigation & Energy Monitoring","7","Home Assistant Installation & YAML Scripts","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Home Assistant Installation & YAML Scripts."
"","51","Smart Irrigation & Energy Monitoring","8","Alexa & Google Voice Assistant Integration","Analyze core parameters and hardware metrics for Smart Irrigation & Energy Monitoring."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Alexa & Google Voice Assistant Integration."
"","51","Smart Irrigation & Energy Monitoring","9","Solenoid Water Valves & Smart Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","51","Smart Irrigation & Energy Monitoring","10","Practical Lab: IoT Automation Scene Setup","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","52","Solar CCTV & IoT Fundamentals","1","Title Slide - Solar CCTV & IoT Fundamentals","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Solar CCTV & IoT Fundamentals."
"","52","Solar CCTV & IoT Fundamentals","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","52","Solar CCTV & IoT Fundamentals","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","52","Solar CCTV & IoT Fundamentals","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","52","Solar CCTV & IoT Fundamentals","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","52","Solar CCTV & IoT Fundamentals","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","52","Solar CCTV & IoT Fundamentals","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","52","Solar CCTV & IoT Fundamentals","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","52","Solar CCTV & IoT Fundamentals","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Solar CCTV & IoT Fundamentals."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","52","Solar CCTV & IoT Fundamentals","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","53","Site Survey & BOQ/Quotation","1","Title Slide - Site Survey & BOQ/Quotation","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Site Survey & BOQ/Quotation."
"","53","Site Survey & BOQ/Quotation","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","53","Site Survey & BOQ/Quotation","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","53","Site Survey & BOQ/Quotation","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","53","Site Survey & BOQ/Quotation","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","53","Site Survey & BOQ/Quotation","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","53","Site Survey & BOQ/Quotation","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","53","Site Survey & BOQ/Quotation","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","53","Site Survey & BOQ/Quotation","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Site Survey & BOQ/Quotation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","53","Site Survey & BOQ/Quotation","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","54","Project Planning & Installation Standards","1","Title Slide - Project Planning & Installation Standards","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Project Planning & Installation Standards."
"","54","Project Planning & Installation Standards","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","54","Project Planning & Installation Standards","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","54","Project Planning & Installation Standards","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","54","Project Planning & Installation Standards","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","54","Project Planning & Installation Standards","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","54","Project Planning & Installation Standards","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","54","Project Planning & Installation Standards","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","54","Project Planning & Installation Standards","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Project Planning & Installation Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","54","Project Planning & Installation Standards","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","55","Testing, Commissioning & AMC","1","Title Slide - Testing, Commissioning & AMC","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Testing, Commissioning & AMC."
"","55","Testing, Commissioning & AMC","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","55","Testing, Commissioning & AMC","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","55","Testing, Commissioning & AMC","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","55","Testing, Commissioning & AMC","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","55","Testing, Commissioning & AMC","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","55","Testing, Commissioning & AMC","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","55","Testing, Commissioning & AMC","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","55","Testing, Commissioning & AMC","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Testing, Commissioning & AMC."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","55","Testing, Commissioning & AMC","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","56","Customer Support & Sales/Negotiation","1","Title Slide - Customer Support & Sales/Negotiation","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Customer Support & Sales/Negotiation."
"","56","Customer Support & Sales/Negotiation","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","56","Customer Support & Sales/Negotiation","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","56","Customer Support & Sales/Negotiation","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","56","Customer Support & Sales/Negotiation","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","56","Customer Support & Sales/Negotiation","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","56","Customer Support & Sales/Negotiation","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","56","Customer Support & Sales/Negotiation","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","56","Customer Support & Sales/Negotiation","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Customer Support & Sales/Negotiation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","56","Customer Support & Sales/Negotiation","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","57","Digital Marketing & Business Automation","1","Title Slide - Digital Marketing & Business Automation","Analyze core parameters and hardware metrics for Digital Marketing & Business Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Digital Marketing & Business Automation."
"","57","Digital Marketing & Business Automation","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Digital Marketing & Business Automation."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","57","Digital Marketing & Business Automation","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Digital Marketing & Business Automation."
"","","","","","Implement industry standards and configuration guidelines."
